kf      Mass     Width	  3*e  Y   2*Spin  on  stbl     Name  	 
100333	1.68	 0.15	    0  0     2     0    0	phi(1680)
100335	2.01	 0.2	    0  0     4     0    0	f(2)(2010)
100443	3.686	 0.000277   0  0     2     0    0	psi(2S)
100553	10.0233	 4.4e-05    0  0     2     0    0	Upsilon(2S)
100555	10.2685	 0.001	    0  0     4     0    0	chi(b2)(2P)
110551	10.2321	 0.001	    0  0     0     0    0	chi(b0)(2P)
120553	10.2552	 0.001	    0  0     2     0    0	chi(b1)(2P)
200553	10.3553	 2.63e-05   0  0     2     0    0	Upsilon(3S)
300553	10.58	 0.01	    0  0     2     0    0	Upsilon(4S)
9000111	1.474	 0.265	    0  0     0     0    0	a(0)(1450)
9000211	1.474	 0.265      3  0     0     0    0	a(0)(1450)+
9000221 0.600    0.600      0  0     0     0    0       f(0)(600)
9000443	4.04	 0.052	    0  0     2     0    0	psi(4040)
9000553	10.865	 0.11	    0  0     2     0    0	Upsilon(10860)
9010221	1.715	 0.125	    0  0     0     0    0	f(0)(1710)
9010553	11.019	 0.079	    0  0     2     0    0	Upsilon(11020)
9010443	4.159	 0.078	    0  0     2     0    0	psi(4160)
9020221	1.5	 0.112	    0  0     0     0    0	f(0)(1500)
9020443	4.415	 0.043	    0  0     2     0    0	psi(4415)
9030221	1.712	 0.133	    0  0     0     0    0	f(J)(1710)
9050225	2.297	 0.15	    0  0     4     0    0	f(2)(2300)
9060225	2.34	 0.32	    0  0     4     0    0	f(2)(2340)
2112	0.939566 7.424e-28  0  0     1     1    1	n
2212	0.938272 0	    3  1     1     1    1	P+
3112	1.19745	 4.45e-15   -3 0     1     1    0	Sigma-
3212	1.19264	 8.9e-06    0  0     1     1    0	Sigma
3222	1.18937	 8.24e-15   3  0     1     1    0	Sigma+
3122	1.11568	 2.501e-15  0  0     1     1    0	Lambda
3312	1.32132	 4.02e-15   -3 0     1     1    0	Xi-
3322	1.3149	 2.27e-15   0  0     1     1    0	Xi
4112	2.4522	 0.0022     0  0     1     1    0	Sigma(c)(2455)
4212	2.4536	 0.0023     3  0     1     1    0	Sigma(c)(2455)+
4222	2.4528	 0.0023     6  0     1     1    0	Sigma(c)(2455)++
4122	2.2849	 3.19e-12   3  0     1     1    0	Lambda(c)+
4132	2.4703	 5.875e-12  0  0     1     1    0	Xi(c)
4232	2.4656	 1.489e-12  3  0     1     1    0	Xi(c)+
4312    2.574    0.001      0  0     1     1    0       Xi'(c)
4322    2.574    0.001      3  0     1     1    0       Xi'(c)+
4332	2.704	 1.02e-11   0  0     1     1    0	Omega(c)
5112    5.82     0.001     -3  0     1     1    0       Sigma(b)-
5212    5.82     0.001      0  0     1     1    0       Sigma(b)
5222    5.82     0.001      3  0     1     1    0       Sigma(b)+
5122	5.624	 5.31e-13   0  0     1     1    0	Lambda(b)
5132    5.84     1.e-13    -3  0     1     1    0       Xi(b)-
5232    5.84     1.e-13     0  0     1     1    0       Xi(b)
5312    5.96     1.e-13    -3  0     1     1    0       Xi'(b)-
5322    5.96     1.e-13     0  0     1     1    0       Xi'(b)
5332    6.12     1.e-15    -3  0     1     1    0       Omega(b)-
1114	1.232	 0.12	    -3 0     3     1    0	Delta(1232)-
2114	1.232	 0.12	    0  0     3     1    0	Delta(1232)
2214	1.232	 0.12	    3  0     3     1    0	Delta(1232)+
2224	1.232	 0.12	    6  0     3     1    0	Delta(1232)++
3114	1.3872	 0.0394	    -3 0     3     1    0	Sigma(1385)-
3214	1.3837	 0.036	    0  0     3     1    0	Sigma(1385)
3224	1.3828	 0.0358	    3  0     3     1    0	Sigma(1385)+
3314	1.535	 0.0099	    -3 0     3     1    0	Xi(1530)-
3324	1.5318	 0.0091	    0  0     3     1    0	Xi(1530)
3334	1.67245	 8.01e-15   -3 0     3     1    0	Omega-
4114    2.5175   0.0150	    0  0     3     1    0       Sigma(c)(2520)
4124    2.625    0.002      3  0     3     1    0       Lambda(c)(2625)
4214	2.5159	 0.0150	    3  0     3     1    0	Sigma(c)(2520)+
4224	2.5194	 0.0150	    6  0     3     1    0	Sigma(c)(2520)++
4314    2.63     0.003      0  0     3     1    0       Xi*(c)
4324    2.63     0.003      3  0     3     1    0       Xi*(c)+
4334    2.8      0.001      0  0     3     1    0       Omega*(c)
5114    5.81     0.01      -3  0     3     1    0       Sigma*(b)-
5124    5.91     0.002      0  0     3     1    0       Lambda(b)(5910)
5214    5.81     0.01       0  0     3     1    0       Sigma*(b)
5224    5.81     0.01       3  0     3     1    0       Sigma*(b)+
5314    5.97     0.001     -3  0     3     1    0       Xi*(b)-
5324    5.97     0.001      0  0     3     1    0       Xi*(b)
5334    6.13     0.0003    -3  0     3     1    0       Omega*(b)-
12112	1.44	 0.35	    0  0     1     0    0	N(1440)
12212	1.44	 0.35	    3  0     1     0    0	N(1440)+
